Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Wander Franco","TBR","SS","A+",1,1,"","70",2021,"High","18.7","5' 10""","190","S","R","2017 J2 (TBR)","Dominican Republic","Franco was identified as a top tier player in his age group as early as 12 or 13, and was seen regularly by scouts by age 14. Sometimes, precocious prospects are workout warriors or have early physical peaks, but Franco isn't either of those. He essentially hasn't failed on a baseball field in any meaningful way since puberty, with his success punctuated by a 2018 pro debut in which he outpaced the game's most recent phenom, No. 1 overall prospect Vladimir Guerrero, Jr., in just about every way, at the same level, at the same age. Franco signed for the largest bonus in the 2017 July 2nd class ($3.825 million) and was seen as the best player in the class by a good margin. There were some questions about his occasionally disinterested style of play as an amateur, but he likely already had a deal done and didn't have anything to play for in later workouts. He's literally always been the best player on any field he's been on, usually by a lot. The raw tools are accordingly loud, and match his stats: at least a plus hit tool with explosive bat speed, elite bat and body control, and an advanced sense of the zone to go along with plus raw power, plus speed, a plus arm, and a real chance to stick at shortstop. Franco is about as close as you'll see to a perfect prospect at this point, with questions only arising if you really nitpick -- the main one being that Franco isn't tall -- but he already has huge power, so it matters less that he isn't physically projectable. The Rays have indicated they will start Franco at Low-A in 2019 and, so long as he keeps performing, keep pushing him until he's challenged so he can experience adversity before he reaches the big leagues. It wouldn't surprise us to see Franco move across multiple levels, but we wouldn't expect a Juan Soto-esque pace of promotion, and a 2019 MLB debut seems incredibly unlikely, given the Rays' upper-level infield glut and the service time implications. Rays officials have likened their immediate impression of Franco, as a player and person, to Evan Longoria. Teammates respond to him, and there isn't even a whiff of the makeup concern some scouts conjured up as an amateur. Franco seems to be the sole author of his potential at this point.","OsxMtDgMaI0","sa3007033"
"Royce Lewis","MIN","SS","AA",2,1,"","65",2020,"High","20.4","6' 2""","188","R","R","2017 Draft Rnd 1 (MIN)","JSerra HS (CA)","Lewis was on the scouting radar early in his high school career in southern California, starring for one of the top programs in the country and showing above average tools at an early stage. Toward the end of showcase season, scouts started throwing around Derek Jeter comparisons, saying that Lewis had a similar frame with chance for a 70 bat, 55 raw power, and the possibility to stick at shortstop with some work. Others saw closer to a 50 or 55 bat and a center fielder, and his draft spring was up-and-down, with scouts that charted all of his games reporting his hitting stats were not strong, though the tools were all still present. 
The Twins took him first overall and cut a below slot deal, as Lewis was seen as one of five options in a top tier of talent without a clear top prospect. Things have gone even better than expected for Lewis in pro ball, and he's hit above league average at every stop and reached High-A at age 19 while improving defensively at shortstop. Most scouts think he can stick there, which was not the case even a year ago, and one long-time scout even said Lewis is ahead of where Jeter was defensively at the same stage. We'll call it a 60 bat with 50 game power and 50 defense, but there's ceiling for more in here.","IRGoLxDpn0U","sa3004259"
"Jo Adell","LAA","RF","AAA",3,1,"&uarr;","65",2021,"High","20.6","6' 3""","215","R","R","2017 Draft Rnd 1 (LAA)","Ballard HS (KY)","Adell played across three levels last year and reached Double-A at age 19. The swing and miss issues he exhibited in high school led many to assume his development might be slow, but after a month of vaporizing Low-A pitching at Burlington, he was quickly sent to the Cal League, where he'd spend most of the year. At Inland Empire, Adell continued to perform, and the Angels pushed him to Double-A Mobile in August, where he was finally forced to deal with some adversity, and struck out 31% of the time. 
Several prospects of recent memory (Byron Buxton, Domonic Brown, and Brandon Wood to name a few) have possessed such titanic physical gifts that they essentially weren't challenged until they reached the big leagues, and some people in baseball posit that it can be psychologically taxing to deal with growing pains in that bright of a spotlight, with the hopes of a franchise and its fans on one's shoulders. Adell is that kind of physical talent. He has a rare blend of power and speed, speed that he has retained since high school even though he has added about 20 pounds. He's now a better bet to stay in center field during his prime than he was in high school, when scouts assumed he'd slow down as he added weight. His feel for going back on balls in center is pretty good and some of the arm strength that Adell (who was once into the mid-90s on the mound) suddenly lost in high school has returned. 
His breaking ball recognition and bat control will continue to be tested by upper-level pitching, and if they start to show improvement, it's not only a sign that Adell is adjusting but that he has the capacity to do so in the future. At that point, we're talking prime Andrew McCutchen and Grady Sizemore-type tools.","tpQIfgNoqIE","sa3004837"
"Forrest Whitley","HOU","RHP","AA",4,1,"&darr;","60",2019,"High","22.1","6' 7""","225","R","R","2016 Draft Rnd 1 (HOU)","Alamo Heights HS (TX)","Whitley was listed at 235 pounds on the 2015 Area Code Games roster but was tipping the scales at 260 not long before that. At that event, he was sitting in the 90-92 range with feel for locating a solid-average curveball. He looked like a mature-bodied pitchability prospect whose stuff might be done improving. During that fall and winter, though, Whitley began to reshape his physique. He dropped about 50 pounds and came out the following spring with much better stuff, his fastball creeping into the 93-95 range and touching 97. 
Whitley and his stuff have continued to improve, though he had a somewhat chaotic 2018. He missed the season's first 50 games due to a suspension for the use of an unknown stimulant, then had his season debut pushed back due to a lat strain. He finally toed the rubber at Double-A Corpus Christi in June and made five four-inning starts before he was removed in the first inning of his sixth outing and placed on the IL with an oblique strain. He missed a little over a month, then made two more starts in August before feeling lat discomfort warming up for what would have been a third. He was shut down as a precaution and sent to the Arizona Fall League to pick up innings. 
His stuff was wholly intact in Arizona, as Whitley sat 93-97 and touched 99. His apparitional changeup haunts both left and right-handed hitters, disappearing beneath barrels as it approaches the plate. Whitley's array of breaking stuff is well-designed. His power 12-6 curveball honors his Texas heritage but has been de-emphasized as an out pitch in deference to his tilting, mid-80s slider. He has the best collection of stuff in the minor leagues, and might have been in the big leagues last year if not for various setbacks. He may be on somewhat of an innings limit this year because he didn't pitch all that much in 2018, but barring that, we expect he'll help the Astros cause at some point in 2019. ","5krfMUxyV_M","sa917930"
"MacKenzie Gore","SDP","LHP","AA",5,1,"&uarr;","60",2021,"High","20.7","6' 3""","180","L","L","2017 Draft Rnd 1 (SDP)","Whiteville HS (NC)","Blisters and fingernail issues were a minor problem during Gore's 2017 pro debut, and shelved him three separate times throughout 2018. His stuff was intact when he pitched, his fastball resting mostly in the 92-94 range and topping around 96 during most of his starts, though he has peaked at 98. 
He is mechanically non-traditional, something Gore is able to maintain because he's such a great athlete. As his front leg kicks up before he pedals toward the plate, so too does his glove and pitching hand, way up over his head, as if his mitt and knee are connected by an invisible wire. When Gore comes home, he drifts toward the first base side of the mound a bit, creating a unique angle on his pitches. 
And those pitches are good. Though he doesn't have great natural ability to spin the ball, Gore's over-the-top arm slot enables him to get tumble on his curveball anyway, he has very advanced changeup feel, and his slider is firm. He'll be able to locate what he wants, where he wants for as long as he retains his top-of-the-scale athleticism. He may be on a bit of an innings count this year just because he only threw 66 innings in 2018, but otherwise he's quite advanced and could move through the minors fairly quickly. ","7bZP4Vs1QhA","sa3005068"
"Adley Rutschman","BAL","C","A",6,1,"","60",2020,"Med","21.7","6' 2""","216","S","R","2019 Draft Rnd 1 (BAL)","Oregon State","Rutschman began to ascend the fall after his freshman year, when he looked like one of the two most talented Oregon State players during fall practices in Corvallis. He then broke out as a sophomore, and further separated himself from the rest of the top talents with an electrifying 2018 postseason. He held the top spot, wire-to-wire, during the subsequent 12 months, which included him hitting .427/.584/.772 as a junior. It's because Rustchman is good at everything. Remarkably mobile for someone his size, he comfortably has the skills to not only stay at catcher, but excel there. He's an agile ball-blocker, he can throw, and he's a con artist pitch-framer who gets umpires booed because fans are convinced they're all strikes. On top of that, this is a switch-hitter with both power and feel for contact from both sides of the plate and an intense, earnest, vocal leader. He is arguably the best draft prospect of the last half decade, a polished, complete player with star-level physical tools.","riXzQCIbfPw","sa3011643"
"Dustin May","LAD","RHP","MLB",7,1,"","60",2020,"High","22.2","6' 6""","180","R","R","2016 Draft Rnd 3 (LAD)","Northwest HS (TX)","May's flamboyant ginger curls and Bronson Arroyo-esque leg kick are maybe the third and fourth most visually captivating aspects of his on-mound presence once you've gotten a look at his stuff. His mid-90s fastball plays up due to great extension, and further incorporation of a running two-seamer has given May's heater enough tail to miss bats in the strike zone. His vertically-breaking slider (May calls it a slider, but it has curveball shape) has one of the better spin rates in the minors and enough vertical depth to miss bats against both left and right-handed hitters. It's May's out pitch, but he also has a developing cutter and its movement is a great foil for his two-seamer. After trying several different changeup grips in 2017, it seems like May is still searching for a good cambio, but his fastball and breaking ball command should suffice against lefties for now. 
The leg kick makes May slow to home and he may be vulnerable to the stolen base because of it, which forces him to vary his cadence home in an attempt to stymie runners. Now at Double-A, what was once a prospect with mid-rotation upside has become one with mid-rotation likelihood.","xvHfqB6Fl5w","19716"
"Casey Mize","DET","RHP","AA",8,1,"","60",2019,"Med","22.5","6' 3""","208","R","R","2018 Draft Rnd 1 (DET)","Auburn","Mize was a midrange projection arm in high school and broke out on the Cape after his freshman year at Auburn. He looked like a mid-first rounder after his sophomore year and subsequent summer with collegiate Team USA, then took a giant leap forward in his draft spring, which led to Detroit taking him first overall. His command improved and he added an 87-90 mph cutter that quickly became a plus pitch, to pair with his mid-90's fastball, above average slider, and plus splitter. After pitching for Team USA the summer before the draft, Mize got a PRP injection in his pitching elbow. Some teams had concerns about his shoulder in high school, and he also missed time a sophomore at Auburn with forearm tightness. 
Mize has some violence to his delivery and isn't the prototypical projectable plus athlete you normally see at the top of the draft. There's also some anecdotal evidence suggesting heavy cutter usage leads to diminished velocity. These are all things to make you wonder how Mize projects, but right now he may be able to pitch in the big leagues, with some mentioning Aaron Nola as the type of pitcher he could become. He's already made an adjustment to his slider that has given the pitch 
more verticl depth, like a slurve, which adds a new movement wrinkle to his mix.  He doesn't really fit Detroit's timeline for contention, and may not be as good in his sixth year of control as he'll be in his second, so many have openly wondered if Mize becomes a trade chip once he succeeds in the big leagues. That's a good problem to have for a big league club in need of top shelf talent; Mize may give them that as soon as 2019. ","KTLpXoKizJU","sa3008444"
"Gavin Lux","LAD","2B","MLB",9,2,"","60",2021,"High","21.9","6' 2""","190","L","R","2016 Draft Rnd 1 (LAD)","Indian Trail Academy HS (WI)","Lux has become almost the inverse of what he was in high school. Drafted as a glove-first shortstop, he has developed throwing issues that we believe will push him to second base. His early-season onslaught at Rancho Cucamonga could have been interpreted as a Cal League mirage, but Lux continued to hit and hit for power at Double-A Tulsa after promotion and scouts have future plus grades on his raw power. 
Now much more physical and strong than he was when he was drafted, Lux is the latest Dodgers player to enjoy a beneficial swing change. His hands have become more active before they fire, and his swing has more lift now, resulting in a ground ball rate that fell from 52% in 2017 to 42% in 2018. His bat is quick enough to catch velocity up in the zone and Lux is strong enough to punish it. The changes haven't had a negative impact on his feel for contact and he remains a selective hitter, as well. We're somewhat concerned about the throwing issues but there's middle infield speed and athletic ability here, and we hope those get ironed out because if they do, Lux could be an All-Star.","UN_FiRAXe4Q","19955"
"Brendan McKay","TBR","LHP","MLB",10,2,"","60",2019,"High","23.9","6' 2""","212","L","L","2017 Draft Rnd 1 (TBR)","Louisville","McKay was a cold-weather, two-way high school prospect with average tools. As is the case with many Louisville commits, his asking price was high. He got to campus and took such an immediate step forward that he was invited to play for college Team USA after just his freshman year. His tools steadily progressed and entering his draft spring, McKay was showing effortless 65-grade raw power, and above-average raw stuff on the mound. On draft day, we think a slight majority of teams preferred McKay as a hitter (the two of us were split). But every MLB team had him as a first round talent both ways, so it seemed inevitable that he would be the rare player who would get a chance to do both in pro ball so his team could at least have time to determine which path was the right one if he couldn't do both. That open-minded approach has driven how Tampa Bay has developed McKay. In 2018, his offense was fine -- he was unlucky by advanced and TrackMan metrics -- while he really broke out as a pitcher, regularly showing all the best stuff that he had only flashed in college. McKay leaned on a low-to-mid-90s fastball and didn't have trouble navigating lineups because of his above average to plus command of the pitch. A plus-flashing curveball is his best secondary offering, but his cutter and changeup are both above-average, giving him No. 2 or 3 starter upside, and he's not a long way off from reaching it. Shohei Ohtani's usage is the only precedent for how McKay might be handled: a standout, playoff rotation-caliber starter and DH. Given how baseball is valuing first base/DH players, there appears to be much more value on the mound for McKay, but there's still a real chance he turns into something like a 110 wRC+ hitter who could make a club just on the merits of his hitting and fielding ability as a first baseman, and scouts have always raved about his makeup and work ethic. The most exciting scenario would be if Tampa Bay paired him with a two-way righty (Tanner Dodson was a high pick in 2018 that will play both ways) and pull the gambit Joe Maddon has tried before: rotating righty and lefty pitchers between the mound and a spot in the field based on the matchups. It could be an effective strategy on its own while enabling roster flexibility in other areas, and it saves matchup relievers until later in the game. Of course, nobody wants the Rays to get too cute and spoil what might just be a traditional, mid-rotation profile.","aCKSVKfZpv0","20186"
