"","player_name","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA","batter"
"1","Adam Moore","mlb","59","-0.008","0.002","-0.1","0.0","11","-0.008","0.0","","0.000","-0.000","0.0","2015","0.4","-0.0",446192
"2","Adam Moore","mlb","211","-0.010","0.004","-0.3","0.1","168","-0.002","0.1","4","-0.016","0.001","0.0","2016","-0.2","-0.2",446192
"3","Adam Moore","mlb","339","-0.026","0.004","-1.4","0.2","303","0.003","-0.2","10","0.004","0.006","-0.0","2018","-1.6","-1.7",446192
"4","Alberto Rosario","mlb","616","0.008","0.004","0.7","0.3","495","0.001","-0.1","14","0.023","0.004","-0.2","2016","0.3","0.8",451705
"5","Alex Avila","mlb","3,507","0.007","0.002","3.7","1.1","2301","-0.001","0.3","24","-0.001","-0.004","-0.0","2018","4.3","3.2",488671
"6","Alex Avila","mlb","3,234","-0.009","0.003","-4.2","1.4","2227","0.000","-0.0","29","0.032","0.002","-0.6","2016","-4.7","-5.7",488671
"7","Alex Avila","mlb","4,639","-0.013","0.001","-9.1","1.0","3105","-0.001","0.5","41","-0.008","-0.004","0.2","2017","-8.0","-1.0",488671
"8","Alex Avila","mlb","2,762","-0.016","0.003","-5.9","1.0","1679","0.003","-1.2","26","-0.009","0.001","0.1","2015","-7.0","-8.1",488671
"9","Alfredo Gonzalez","mlb","171","-0.010","0.004","-0.3","0.1","117","0.010","-0.3","3","0.001","0.004","-0.0","2018","-0.1","-0.6",554054
"10","Andrew Knapp","mlb","2,878","-0.008","0.002","-3.5","1.1","1993","0.001","-0.4","33","0.013","0.007","-0.3","2018","-4.3","-5.3",595284
"11","Andrew Knapp","mlb","3,432","-0.012","0.002","-6.1","1.3","2204","0.003","-1.6","37","0.049","0.006","-1.2","2017","-8.8","-10.2",595284
"12","Andrew Susac","mlb","125","-0.009","0.002","-0.2","0.0","77","0.009","-0.2","","0.000","0.000","0.0","2017","-0.4","-0.4",572180
"13","Andrew Susac","mlb","2,142","0.006","0.001","1.7","0.3","1357","-0.001","0.5","31","0.045","-0.000","-0.7","2015","2.1","2.5",572180
"14","Andrew Susac","mlb","457","-0.008","0.004","-0.5","0.3","354","-0.000","0.0","6","0.000","0.002","-0.0","2018","-0.8","-0.6",572180
"15","Andrew Susac","mlb","247","-0.023","0.006","-0.8","0.2","143","0.001","-0.0","3","-0.017","-0.000","0.0","2016","-0.3","-0.9",572180
"16","Anthony Recker","mlb","1,386","-0.016","0.004","-3.0","0.8","881","-0.003","0.6","9","0.030","-0.003","-0.1","2015","-2.6","-2.5",489232
"17","Anthony Recker","mlb","1,780","-0.024","0.003","-6.1","0.7","1210","-0.002","0.6","31","0.028","0.002","-0.5","2016","-6.0","-6.6",489232
"18","Anthony Recker","mlb","84","-0.007","0.005","-0.1","0.1","57","0.011","-0.2","1","0.017","-0.001","-0.0","2017","-0.3","-0.3",489232
"19","Aramis Garcia","mlb","377","0.008","0.003","0.4","0.1","222","-0.005","0.3","3","0.001","-0.001","-0.0","2018","0.7","0.0",605244
"20","Austin Barnes","mlb","2,931","0.033","0.002","14.8","0.8","1982","-0.003","1.6","28","0.028","-0.002","-0.5","2017","15.8","15.0",605131
"21","Austin Barnes","mlb","338","0.009","0.006","0.4","0.3","225","0.001","-0.0","2","0.019","-0.001","-0.0","2016","0.3","-0.0",605131
"22","Austin Barnes","mlb","575","0.012","0.005","0.9","0.4","355","-0.007","0.7","8","0.025","-0.000","-0.1","2015","2.2","1.5",605131
"23","Austin Barnes","mlb","2,837","0.019","0.003","8.3","1.5","1970","-0.002","1.0","18","0.004","-0.006","-0.1","2018","9.2","10.1",605131
"24","Austin Hedges","mlb","389","-0.005","0.004","-0.3","0.2","255","-0.004","0.2","4","-0.015","-0.002","0.0","2016","2.1","-0.0",595978
"25","Austin Hedges","mlb","2,709","0.026","0.003","9.3","1.0","1842","-0.002","1.2","42","-0.011","0.000","0.2","2015","10.6","10.4",595978
"26","Austin Hedges","mlb","5,355","0.016","0.002","13.0","1.8","3674","-0.000","0.1","51","0.010","-0.001","-0.4","2018","12.6","11.8",595978
"27","Austin Hedges","mlb","6,716","0.027","0.003","28.0","3.3","4537","-0.001","1.3","60","-0.055","-0.005","2.2","2017","30.3","34.1",595978
"28","Austin Romine","mlb","3,727","0.011","0.003","6.3","1.9","2605","0.000","-0.3","26","0.072","-0.001","-1.3","2017","4.3","5.2",519222
"29","Austin Romine","mlb","2,490","-0.005","0.002","-1.9","0.7","1776","0.000","-0.1","20","0.042","-0.004","-0.5","2016","-2.7","-3.4",519222
"30","Austin Romine","mlb","4,511","0.006","0.001","4.2","0.6","3274","-0.002","2.2","53","0.001","0.001","-0.0","2018","6.3","6.8",519222
"31","Austin Wynns","mlb","2,289","-0.006","0.002","-2.3","0.9","1575","-0.001","0.5","20","-0.004","0.000","0.1","2018","-1.8","-0.6",642851
"32","Beau Taylor","mlb","75","0.011","0.004","0.1","0.0","29","-0.006","0.0","2","-0.012","0.002","0.0","2018","0.7","0.2",607333
"33","Blake Swihart","mlb","5,191","-0.003","0.002","-1.9","1.3","3526","0.004","-3.7","42","-0.010","0.003","0.2","2015","-7.1","-5.2",596119
"34","Blake Swihart","mlb","1,209","0.004","0.002","0.7","0.5","862","-0.003","0.7","16","0.002","0.000","-0.0","2018","1.4","-0.3",596119
